A,B,C,D,E,F,G
6.62,229.67,0.05,1.02,11.14,0.5,2.5
6.92,229.53,0.05,0.72,11.13,0.51,2.5
7.23,229.31,0.05,0.76,11.12,0.53,2.5
7.53,230.2,0.04,0.72,11.11,0.54,2.5
7.83,229.55,0,0,11.11,0.55,2.6
8.13,229.42,0.34,51.7,11.1,0.56,2.6
8.43,229.63,0.18,24.71,11.69,0.38,2.8
8.73,229.55,0.15,20.12,11.62,0.35,2.9
9.03,229.44,0.1,12.48,11.54,0.34,3
9.33,229.31,0.1,12.71,11.49,0.35,3.1
9.63,229.23,0.1,12.57,11.48,0.35,3.2
9.93,229.33,0.1,12.58,11.46,0.35,3.2
10.24,229.38,0.1,12.48,11.45,0.35,3.3
10.54,229.3,0.1,12.53,11.45,0.35,3.3
10.84,229.25,0.1,12.73,11.44,0.35,3.4
11.14,229.24,0.1,12.79,11.43,0.35,3.5
11.44,229.43,0.1,12.77,11.43,0.35,3.5
11.74,229.48,0.1,12.7,11.42,0.36,3.6
12.04,229.15,0.1,12.52,11.42,0.36,3.7
12.34,229.2,0.1,12.78,11.41,0.36,3.7
12.64,229.33,0.1,12.7,11.41,0.36,3.8
12.94,229.33,0.1,12.75,11.41,0.36,3.9
13.25,229.25,0.1,12.81,11.4,0.36,3.9
13.55,229.48,0.1,12.88,11.4,0.36,4
13.85,229.4,0.1,12.78,11.4,0.36,4
14.15,229.3,0.1,12.92,11.4,0.36,4.1
14.45,229.41,0,0,11.37,0.37,4.2
14.75,229.41,0,0,11.3,0.38,4.2
